Image,Accuracy,Sensitivity,Specificity,Dice
01_test_segmentation.png,0.8804,0.0,0.8804,0.6734
02_test_segmentation.png,0.8267,0.0,0.8267,0.5721
03_test_segmentation.png,0.8244,0.0,0.8244,0.5556
04_test_segmentation.png,0.843,0.0,0.843,0.5191
05_test_segmentation.png,0.8274,0.0,0.8274,0.5569
06_test_segmentation.png,0.7831,0.0,0.7831,0.4859
07_test_segmentation.png,0.8668,0.0,0.8668,0.5958
08_test_segmentation.png,0.879,0.0,0.879,0.6013
09_test_segmentation.png,0.8903,0.0,0.8903,0.6242
10_test_segmentation.png,0.8241,0.0,0.8241,0.5222
11_test_segmentation.png,0.8206,0.0,0.8206,0.4827
12_test_segmentation.png,0.7953,0.0,0.7953,0.4631
13_test_segmentation.png,0.8014,0.0,0.8014,0.4889
14_test_segmentation.png,0.7758,0.0,0.7758,0.434
15_test_segmentation.png,0.8527,0.0,0.8527,0.5544
16_test_segmentation.png,0.7809,0.0,0.7809,0.4521
17_test_segmentation.png,0.8167,0.0,0.8167,0.495
18_test_segmentation.png,0.8631,0.0,0.8631,0.5743
19_test_segmentation.png,0.7772,0.0,0.7772,0.4749
20_test_segmentation.png,0.8458,0.0,0.8458,0.5371
Average,0.828735,0.0,0.828735,0.53315
